ch_idx: 0
train_loss: tensor(2237.8003, device='cuda:0')
train_loss/datalen tensor(149.1867, device='cuda:0')
test accuracy: 0.31
test_loss: tensor(1039.3942, device='cuda:0')
test_loss/datalen tensor(148.4849, device='cuda:0')
train accuracy: 0.24
train_loss: tensor(2364.6504, device='cuda:0')
train_loss/datalen tensor(157.6434, device='cuda:0')
test accuracy: 0.27
test_loss: tensor(1016.6359, device='cuda:0')
test_loss/datalen tensor(145.2337, device='cuda:0')
train accuracy: 0.3
train_loss: tensor(2287.0171, device='cuda:0')
train_loss/datalen tensor(152.4678, device='cuda:0')
test accuracy: 0.29
test_loss: tensor(1016.4999, device='cuda:0')
test_loss/datalen tensor(145.2143, device='cuda:0')
train accuracy: 0.23
train_loss: tensor(2270.8640, device='cuda:0')
train_loss/datalen tensor(151.3909, device='cuda:0')
test accuracy: 0.33
test_loss: tensor(992.1096, device='cuda:0')
test_loss/datalen tensor(141.7299, device='cuda:0')
-----------------------------------------------
ch_idx: 1
train accuracy: 0.21
train_loss: tensor(2079.4709, device='cuda:0')
train_loss/datalen tensor(138.6314, device='cuda:0')
test accuracy: 0.3
test_loss: tensor(923.3928, device='cuda:0')
test_loss/datalen tensor(131.9133, device='cuda:0')
train accuracy: 0.18
train_loss: tensor(2027.8684, device='cuda:0')
train_loss/datalen tensor(135.1912, device='cuda:0')
test accuracy: 0.28
test_loss: tensor(945.1687, device='cuda:0')
test_loss/datalen tensor(135.0241, device='cuda:0')
train accuracy: 0.27
train_loss: tensor(2044.8257, device='cuda:0')
train_loss/datalen tensor(136.3217, device='cuda:0')
test accuracy: 0.31
test_loss: tensor(923.4099, device='cuda:0')
test_loss/datalen tensor(131.9157, device='cuda:0')
train accuracy: 0.25
train_loss: tensor(2081.2937, device='cuda:0')
train_loss/datalen tensor(138.7529, device='cuda:0')
test accuracy: 0.3
test_loss: tensor(928.5091, device='cuda:0')
test_loss/datalen tensor(132.6442, device='cuda:0')
train accuracy: 0.3
train_loss: tensor(2065.5703, device='cuda:0')
train_loss/datalen tensor(137.7047, device='cuda:0')
test accuracy: 0.23
test_loss: tensor(936.9496, device='cuda:0')
test_loss/datalen tensor(133.8499, device='cuda:0')
train accuracy: 0.21
train_loss: tensor(2080.5310, device='cuda:0')
train_loss/datalen tensor(138.7021, device='cuda:0')
test accuracy: 0.23
test_loss: tensor(915.7502, device='cuda:0')
test_loss/datalen tensor(130.8215, device='cuda:0')
train accuracy: 0.21
train_loss: tensor(2053.6489, device='cuda:0')
train_loss/datalen tensor(136.9099, device='cuda:0')
test accuracy: 0.29
test_loss: tensor(912.0248, device='cuda:0')
test_loss/datalen tensor(130.2893, device='cuda:0')
train accuracy: 0.21
train_loss: tensor(2085.2144, device='cuda:0')
train_loss/datalen tensor(139.0143, device='cuda:0')
test accuracy: 0.23
test_loss: tensor(936.3403, device='cuda:0')
test_loss/datalen tensor(133.7629, device='cuda:0')
train accuracy: 0.22
train_loss: tensor(2026.8152, device='cuda:0')
train_loss/datalen tensor(135.1210, device='cuda:0')
test accuracy: 0.29
test_loss: tensor(965.1144, device='cuda:0')
test_loss/datalen tensor(137.8735, device='cuda:0')
train accuracy: 0.21
train_loss: tensor(2045.1372, device='cuda:0')
train_loss/datalen tensor(136.3425, device='cuda:0')
test accuracy: 0.29
test_loss: tensor(922.7269, device='cuda:0')
test_loss/datalen tensor(131.8181, device='cuda:0')
train accuracy: 0.26
train_loss: tensor(2030.8333, device='cuda:0')
train_loss/datalen tensor(135.3889, device='cuda:0')
test accuracy: 0.2
test_loss: tensor(923.5446, device='cuda:0')
test_loss/datalen tensor(131.9349, device='cuda:0')
train accuracy: 0.27
train_loss: tensor(2101.5974, device='cuda:0')
train_loss/datalen tensor(140.1065, device='cuda:0')
test accuracy: 0.36
test_loss: tensor(928.0464, device='cuda:0')
test_loss/datalen tensor(132.5781, device='cuda:0')
train accuracy: 0.25
train_loss: tensor(2062.0471, device='cuda:0')
train_loss/datalen tensor(137.4698, device='cuda:0')
test accuracy: 0.27
test_loss: tensor(931.9117, device='cuda:0')
test_loss/datalen tensor(133.1302, device='cuda:0')
train accuracy: 0.27
train_loss: tensor(2043.8849, device='cuda:0')
train_loss/datalen tensor(136.2590, device='cuda:0')
test accuracy: 0.28
test_loss: tensor(920.3227, device='cuda:0')
test_loss/datalen tensor(131.4747, device='cuda:0')
train accuracy: 0.28
train_loss: tensor(2043.1239, device='cuda:0')
train_loss/datalen tensor(136.2083, device='cuda:0')
test accuracy: 0.26
test_loss: tensor(952.5647, device='cuda:0')
test_loss/datalen tensor(136.0807, device='cuda:0')
train accuracy: 0.28
train_loss: tensor(2017.8892, device='cuda:0')
train_loss/datalen tensor(134.5260, device='cuda:0')
test accuracy: 0.27
test_loss: tensor(938.8184, device='cuda:0')
test_loss/datalen tensor(134.1169, device='cuda:0')
train accuracy: 0.23
train_loss: tensor(2028.4266, device='cuda:0')
train_loss/datalen tensor(135.2285, device='cuda:0')
test accuracy: 0.21
test_loss: tensor(955.4881, device='cuda:0')
test_loss/datalen tensor(136.4983, device='cuda:0')
train accuracy: 0.21
train_loss: tensor(2052.3247, device='cuda:0')
train_loss/datalen tensor(136.8217, device='cuda:0')
test accuracy: 0.31
test_loss: tensor(908.9281, device='cuda:0')
test_loss/datalen tensor(129.8469, device='cuda:0')
train accuracy: 0.23
train_loss: tensor(2038.3026, device='cuda:0')
train_loss/datalen tensor(135.8868, device='cuda:0')
test accuracy: 0.23
test_loss: tensor(938.5226, device='cuda:0')
test_loss/datalen tensor(134.0747, device='cuda:0')
train accuracy: 0.35
train_loss: tensor(2045.8164, device='cuda:0')
train_loss/datalen tensor(136.3878, device='cuda:0')
test accuracy: 0.31
test_loss: tensor(923.5465, device='cuda:0')
test_loss/datalen tensor(131.9352, device='cuda:0')
train accuracy: 0.31
train_loss: tensor(2025.7074, device='cuda:0')
train_loss/datalen tensor(135.0472, device='cuda:0')
test accuracy: 0.3
test_loss: tensor(940.2377, device='cuda:0')
test_loss/datalen tensor(134.3197, device='cuda:0')
train accuracy: 0.26
train_loss: tensor(2077.8064, device='cuda:0')
train_loss/datalen tensor(138.5204, device='cuda:0')
test accuracy: 0.32
test_loss: tensor(938.0637, device='cuda:0')
test_loss/datalen tensor(134.0091, device='cuda:0')
train accuracy: 0.28
train_loss: tensor(2032.1862, device='cuda:0')
train_loss/datalen tensor(135.4791, device='cuda:0')
test accuracy: 0.26
test_loss: tensor(954.6429, device='cuda:0')
test_loss/datalen tensor(136.3776, device='cuda:0')
train accuracy: 0.23
train_loss: tensor(2039.2455, device='cuda:0')
train_loss/datalen tensor(135.9497, device='cuda:0')
test accuracy: 0.33
test_loss: tensor(933.0084, device='cuda:0')
test_loss/datalen tensor(133.2869, device='cuda:0')
train accuracy: 0.33
train_loss: tensor(2033.4998, device='cuda:0')
train_loss/datalen tensor(135.5667, device='cuda:0')
test accuracy: 0.33
test_loss: tensor(958.0198, device='cuda:0')
test_loss/datalen tensor(136.8600, device='cuda:0')
train accuracy: 0.24
train_loss: tensor(2064.7986, device='cuda:0')
train_loss/datalen tensor(137.6532, device='cuda:0')
test accuracy: 0.27
test_loss: tensor(929.4315, device='cuda:0')
test_loss/datalen tensor(132.7759, device='cuda:0')
train accuracy: 0.28
train_loss: tensor(2067.5288, device='cuda:0')
